Freq.	V(vout+)-V(vout-)
1.02329299228075e-002	(-1.20218586756472e+001dB,-1.03032411892253e+002°)
1.04712854805090e-002	(-1.18322542285212e+001dB,-1.03325263838944e+002°)
1.07151930523760e-002	(-1.16431131041948e+001dB,-1.03624204834538e+002°)
1.09647819614318e-002	(-1.14544547172452e+001dB,-1.03929328250549e+002°)
1.12201845430196e-002	(-1.12662991839348e+001dB,-1.04240726611810e+002°)
1.14815362149688e-002	(-1.10786673374671e+001dB,-1.04558491409390e+002°)
1.17489755493952e-002	(-1.08915807426055e+001dB,-1.04882712902273e+002°)
1.20226443461741e-002	(-1.07050617095436e+001dB,-1.05213479907522e+002°)
1.23026877081238e-002	(-1.05191333069002e+001dB,-1.05550879578685e+002°)
1.25892541179416e-002	(-1.03338193737112e+001dB,-1.05894997172266e+002°)
1.28824955169313e-002	(-1.01491445302755e+001dB,-1.06245915802090e+002°)
1.31825673855640e-002	(-9.96513418770748e+000dB,-1.06603716181481e+002°)
1.34896288259165e-002	(-9.78181455604082e+000dB,-1.06968476353192e+002°)
1.38038426460288e-002	(-9.59921265071608e+000dB,-1.07340271407137e+002°)
1.41253754462275e-002	(-9.41735629728170e+000dB,-1.07719173186001e+002°)
1.44543977074592e-002	(-9.23627413412731e+000dB,-1.08105249978929e+002°)
1.47910838816820e-002	(-9.05599561306290e+000dB,-1.08498566203552e+002°)
1.51356124843620e-002	(-8.87655099755070e+000dB,-1.08899182076734e+002°)
1.54881661891247e-002	(-8.69797135839186e+000dB,-1.09307153274509e+002°)
1.58489319246111e-002	(-8.52028856666547e+000dB,-1.09722530581806e+002°)
1.62181009735892e-002	(-8.34353528371472e+000dB,-1.10145359532689e+002°)
1.65958690743755e-002	(-8.16774494797349e+000dB,-1.10575680041950e+002°)
1.69824365246174e-002	(-7.99295175842666e+000dB,-1.11013526029067e+002°)
1.73780082874937e-002	(-7.81919065449959e+000dB,-1.11458925035652e+002°)
1.77827941003891e-002	(-7.64649729217600e+000dB,-1.11911897837697e+002°)
1.81970085860997e-002	(-7.47490801615001e+000dB,-1.12372458054066e+002°)
1.86208713666286e-002	(-7.30445982782681e+000dB,-1.12840611752860e+002°)
1.90546071796324e-002	(-7.13519034899761e+000dB,-1.13316357057430e+002°)
1.94984459975804e-002	(-6.96713778102935e+000dB,-1.13799683754014e+002°)
1.99526231496887e-002	(-6.80034085942669e+000dB,-1.14290572903096e+002°)
