Freq.	V(vout+)-V(vout-)	V(vin)
1.58489319246111e-01	-8.37729801356732e-05,-8.76257430934267e-03	1.99998990004884e-02,-1.11373217216530e-13
1.62181009735893e-01	-8.77209107485387e-05,-8.96665347575267e-03	1.99998990004883e-02,-1.13967358090813e-13
1.65958690743756e-01	-9.18548853616202e-05,-9.17548429641067e-03	1.99998990004883e-02,-1.16621918951727e-13
1.69824365246174e-01	-9.61836703920530e-05,-9.38917731138206e-03	1.99998990004883e-02,-1.19338306748814e-13
1.73780082874937e-01	-1.00716445254365e-04,-9.60784562551699e-03	1.99998990004883e-02,-1.22117961224473e-13
1.77827941003892e-01	-1.05462821809867e-04,-9.83160496747513e-03	1.99998990004883e-02,-1.24962355575513e-13
1.81970085860998e-01	-1.10432864731262e-04,-1.00605737500740e-02	1.99998990004883e-02,-1.27872997379946e-13
1.86208713666287e-01	-1.15637112825455e-04,-1.02948731319881e-02	1.99998990004882e-02,-1.30851429215136e-13
1.90546071796325e-01	-1.21086601359597e-04,-1.05346270808268e-02	1.99998990004882e-02,-1.33899229547598e-13
1.94984459975804e-01	-1.26792885437467e-04,-1.07799624376176e-02	1.99998990004882e-02,-1.37018013619866e-13
1.99526231496888e-01	-1.32768064475523e-04,-1.10310089827245e-02	1.99998990004882e-02,-1.40209434223828e-13
2.04173794466953e-01	-1.39024807830215e-04,-1.12878995032296e-02	1.99998990004882e-02,-1.43475182654916e-13
2.08929613085404e-01	-1.45576381630682e-04,-1.15507698618061e-02	1.99998990004881e-02,-1.46816989472593e-13
2.13796208950223e-01	-1.52436676873315e-04,-1.18197590671129e-02	1.99998990004881e-02,-1.50236625565999e-13
2.18776162394955e-01	-1.59620238837457e-04,-1.20950093457397e-02	1.99998990004881e-02,-1.53735902989812e-13
2.23872113856834e-01	-1.67142297884202e-04,-1.23766662157327e-02	1.99998990004881e-02,-1.57316675969140e-13
2.29086765276777e-01	-1.75018801703158e-04,-1.26648785617308e-02	1.99998990004880e-02,-1.60980841825606e-13
2.34422881531992e-01	-1.83266449075086e-04,-1.29597987117422e-02	1.99998990004880e-02,-1.64730342042370e-13
2.39883291901949e-01	-1.91902725221485e-04,-1.32615825155923e-02	1.99998990004880e-02,-1.68567163208854e-13
2.45470891568503e-01	-2.00945938815484e-04,-1.35703894250732e-02	1.99998990004880e-02,-1.72493338189592e-13
2.51188643150958e-01	-2.10415260731899e-04,-1.38863825758253e-02	1.99998990004879e-02,-1.76510947012783e-13
2.57039578276886e-01	-2.20330764617973e-04,-1.42097288709820e-02	1.99998990004879e-02,-1.80622118139331e-13
2.63026799189538e-01	-2.30713469369942e-04,-1.45405990666085e-02	1.99998990004879e-02,-1.84829029523015e-13
2.69153480392691e-01	-2.41585383604793e-04,-1.48791678589642e-02	1.99998990004878e-02,-1.89133909698235e-13
2.75422870333816e-01	-2.52969552220548e-04,-1.52256139736215e-02	1.99998990004878e-02,-1.93539039039643e-13
2.81838293126445e-01	-2.64890105142720e-04,-1.55801202564692e-02	1.99998990004877e-02,-1.98046750878453e-13
2.88403150312660e-01	-2.77372308359310e-04,-1.59428737666329e-02	1.99998990004877e-02,-2.02659432816859e-13
2.95120922666638e-01	-2.90442617351258e-04,-1.63140658713407e-02	1.99998990004877e-02,-2.07379527955456e-13
3.01995172040201e-01	-3.04128733030361e-04,-1.66938923427656e-02	1.99998990004876e-02,-2.12209536069817e-13
3.09029543251359e-01	-3.18459660301746e-04,-1.70825534568726e-02	1.99998990004876e-02,-2.17152015065067e-13
3.16227766016837e-01	-3.33465769373561e-04,-1.74802540943004e-02	1.99998990004875e-02,-2.22209582302065e-13
3.23593656929628e-01	-3.49178859941959e-04,-1.78872038433048e-02	1.99998990004875e-02,-2.27384915905011e-13
3.31131121482591e-01	-3.65632228385729e-04,-1.83036171047924e-02	1.99998990004874e-02,-2.32680756086393e-13
3.38844156139202e-01	-3.82860738110770e-04,-1.87297131994707e-02	1.99998990004873e-02,-2.38099906871779e-13
