*Frequency 	VM1-abs (dB)	VM1-phase (deg)	Vin-abs (dB)	Vin-phase (deg)
0.00332659553294004	-47.575882709625	-90.2395195810034	0	0
0.00339625272590408	-47.3958859211839	-90.2445349370919	0	0
0.00346736850452532	-47.2158892686453	-90.2496553082813	0	0
0.00353997341083435	-47.0358927577598	-90.2548828932857	0	0
0.00361409862639613	-46.8558963945217	-90.2602199368429	0	0
0.0036897759857015	-46.6759001851789	-90.2656687306779	0	0
0.00376703798983909	-46.4959041362433	-90.271231614485	0	0
0.00384591782045354	-46.3159082545028	-90.2769109769311	0	0
0.003926449353996	-46.1359125470323	-90.2827092566806	0	0
0.00400866717627303	-45.9559170212061	-90.2886289434402	0	0
0.00409260659730011	-45.7759216847106	-90.294672579027	0	0
0.00417830366646622	-45.5959265455572	-90.3008427584574	0	0
0.00426579518801593	-45.4159316120966	-90.3071421310605	0	0
0.00435511873685569	-45.2359368930326	-90.3135734016127	0	0
0.00444631267469109	-45.0559423974374	-90.3201393314977	0	0
0.00453941616650203	-44.875948134767	-90.3268427398895	0	0
0.00463446919736288	-44.6959541148776	-90.3336865049606	0	0
0.0047315125896148	-44.5159603480424	-90.3406735651153	0	0
0.00483058802039773	-44.3359668449691	-90.3478069202486	0	0
0.00493173803954936	-44.1559736168187	-90.3550896330313	0	0
0.00503500608787905	-43.9759806752244	-90.362524830222	0	0
0.00514043651582426	-43.7959880323114	-90.3701157040062	0	0
0.00524807460249773	-43.6159957007182	-90.3778655133634	0	0
0.00535796657513342	-43.4360036936179	-90.3857775854627	0	0
0.00547015962893972	-43.2560120247408	-90.3938553170871	0	0
0.00558470194736831	-43.0760207083984	-90.4021021760881	0	0
0.00570164272280747	-42.8960297595077	-90.4105217028696	0	0
0.00582103217770871	-42.7160391936165	-90.4191175119031	0	0
0.00594292158615572	-42.5360490269308	-90.4278932932749	0	0
0.00606736329588505	-42.3560592763419	-90.4368528142643	0	0
0.00619441075076781	-42.176069959456	-90.4459999209556	0	0
0.0063241185137622	-41.9960810946241	-90.4553385398828	0	0
0.00645654229034655	-41.8160927009735	-90.4648726797087	0	0
0.00659173895244321	-41.6361047984407	-90.4746064329394	0	0
0.00672976656284318	-41.4561174078058	-90.4845439776728	0	0
0.00687068440014232	-41.2761305507278	-90.494689579385	0	0
0.00701455298419971	-41.0961442497822	-90.5050475927526	0	0
0.00716143410212902	-40.9161585284993	-90.5156224635134	0	0
0.00731139083483417	-40.7361734114051	-90.5264187303647	0	0
0.00746448758410066	-40.5561889240629	-90.5374410269018	0	0
0.00762079010025412	-40.3762050931176	-90.5486940835962	0	0
0.00778036551039804	-40.196221946341	-90.5601827298141	0	0
0.00794328234724282	-40.0162395126798	-90.5719118958776	0	0
0.00810961057853841	-39.8362578223054	-90.5838866151674	0	0
0.00827942163712334	-39.6562769066651	-90.5961120262696	0	0
0.0084527884516029	-39.4762967985365	-90.608593375166	0	0
0.0086297854776697	-39.2963175320839	-90.6213360174703	0	0
0.00881048873008014	-39.1163391429163	-90.6343454207096	0	0
0.00899497581530035	-38.9363616681491	-90.6476271666533	0	0
0.00918332596483581	-38.7563851464676	-90.6611869536891	0	0
0.0093756200692588	-38.576409618193	-90.6750305992486	0	0
0.00957194071294844	-38.3964351253522	-90.689164042282	0	0
0.0097723722095581	-38.2164617117493	-90.7035933457841	0	0
0.00997700063822553	-38.0364894230412	-90.7183246993709	0	0
0.0101859138805412	-37.8565183068155	-90.7333644219103	0	0
0.0103992016582906	-37.6765484126724	-90.7487189642052	0	0
0.0106169555719872	-37.4965797923097	-90.764394911732	0	0
0.010839269140212	-37.3166124996113	-90.7803989874351	0	0
0.0110662378397767	-37.1366465907395	-90.7967380545774	0	0
0.011297959146728	-36.9566821242319	-90.8134191196498	0	0
0.0115345325782109	-36.7767191611009	-90.8304493353386	0	0
0.0117760597352081	-36.5967577649388	-90.8478360035543	0	0
0.0120226443461741	-36.4167980020266	-90.8655865785205	0	0
0.0122743923115841	-36.2368399414478	-90.8837086699261	0	0
0.0125314117494142	-36.0568836552064	-90.9022100461406	0	0
0.0127938130415752	-35.8769292183505	-90.9210986374946	0	0
0.0130617088813184	-35.6969767091011	-90.9403825396255	0	0
0.0133352143216332	-35.5170262089853	-90.9600700168915	0	0
0.0136144468246595	-35.337077802977	-90.9801695058529	0	0
0.0138995263121335	-35.1571315796413	-91.0006896188241	0	0
0.0141905752168909	-34.9771876312871	-91.0216391474951	0	0
0.0144877185354476	-34.7972460541245	-91.0430270666266	0	0
0.0147910838816821	-34.6173069484297	-91.0648625378177	0	0
0.0151008015416415	-34.4373704187165	-91.0871549133482	0	0
0.0154170045294956	-34.2574365739155	-91.1099137400977	0	0
0.0157398286446622	-34.0775055275598	-91.1331487635409	0	0
0.0160694125301288	-33.8975773979799	-91.1568699318224	0	0
0.0164058977319954	-33.7176523085054	-91.181087399911	0	0
0.0167494287602644	-33.5377303876766	-91.2058115338355	0	0
0.0171001531509029	-33.3578117694635	-91.2310529150031	0	0
0.017458221529205	-33.1778965934954	-91.2568223446013	0	0
0.0178237876744809	-32.9979850052988	-91.2831308480859	0	0
0.0181970085860998	-32.8180771565468	-91.3099896797549	0	0
0.018578044550917	-32.6381732053177	-91.3374103274108	0	0
0.0189670592121115	-32.4582733163646	-91.3654045171121	0	0
0.0193642196394661	-32.2783776613976	-91.3939842180156	0	0
0.0197696964011186	-32.0984864193758	-91.4231616473103	0	0
0.0201836636368156	-31.9185997768132	-91.4529492752456	0	0
0.0206062991327	-31.7387179280968	-91.4833598302526	0	0
0.0210377843976647	-31.5588410758178	-91.514406304163	0	0
0.0214783047413053	-31.3789694311173	-91.5461019575245	0	0
0.0219280493535045	-31.1991032140454	-91.5784603250143	0	0
0.0223872113856834	-31.0192426539368	-91.6114952209532	0	0
0.0228559880337543	-30.839387989801	-91.6452207449203	0	0
0.02333458062281	-30.6595394707288	-91.6796512874697	0	0
0.0238231946935869	-30.4796973563165	-91.7148015359512	0	0
0.0243220400907382	-30.2998619171073	-91.7506864804346	0	0
0.0248313310529557	-30.1200334350512	-91.7873214197406	0	0
0.0253512863049791	-29.940212203984	-91.8247219675771	0	0
0.0258821291515309	-29.7603985301264	-91.8629040587842	0	0
0.0264240875732195	-29.580592732604	-91.9018839556869	0	0
0.0269773943244492	-29.4007951439886	-91.9416782545579	0	0
0.0275422870333817	-29.221006110862	-91.9823038921897	0	0
0.0281190083039894	-29.041225994404	-92.0237781525782	0	0
0.0287078058202469	-28.8614551710035	-92.0661186737175	0	0
0.0293089324525032	-28.6816940328962	-92.1093434545073	0	0
0.0299226463660819	-28.5019429888279	-92.1534708617714	0	0
0.0305492111321551	-28.3222024647456	-92.1985196373908	0	0
0.0311888958409394	-28.1424729045175	-92.2445089055482	0	0
0.0318419752172612	-27.9627547706819	-92.2914581800862	0	0
0.0325087297385434	-27.7830485452277	-92.3393873719789	0	0
0.033189445755261	-27.6033547304074	-92.3883167969151	0	0
