*Frequency 	VM1-abs (dB)	VM1-phase (deg)	Vin-abs (dB)	Vin-phase (deg)
0.00339625272590408	-47.3958859299053	-90.247102504151	0	0
0.00346736850452532	-47.2158892777357	-90.2522766388689	0	0
0.00353997341083435	-47.0358927672349	-90.2575591131823	0	0
0.00361409862639613	-46.8558964043978	-90.2629521954024	0	0
0.0036897759857015	-46.6759001954728	-90.2684582013209	0	0
0.00376703798983909	-46.4959041469729	-90.2740794952029	0	0
0.00384591782045354	-46.3159082656864	-90.2798184908009	0	0
0.003926449353996	-46.1359125586892	-90.2856776523896	0	0
0.00400866717627303	-45.9559170333563	-90.2916594958227	0	0
0.00409260659730011	-45.7759216973749	-90.2977665896115	0	0
0.00417830366646622	-45.5959265587574	-90.3040015560261	0	0
0.00426579518801593	-45.4159316258554	-90.3103670722192	0	0
0.00435511873685569	-45.2359369073737	-90.3168658713742	0	0
0.00444631267469109	-45.0559424123853	-90.323500743876	0	0
0.00453941616650203	-44.8759481503475	-90.3302745385073	0	0
0.00463446919736288	-44.6959541311175	-90.3371901636695	0	0
0.0047315125896148	-44.5159603649695	-90.3442505886284	0	0
0.00483058802039773	-44.3359668626125	-90.3514588447871	0	0
0.00493173803954936	-44.1559736352088	-90.358818026984	0	0
0.00503500608787905	-43.9759806943927	-90.3663312948188	0	0
0.00514043651582426	-43.7959880522908	-90.3740018740062	0	0
0.00524807460249773	-43.6159957215431	-90.3818330577565	0	0
0.00535796657513342	-43.436003715324	-90.3898282081867	0	0
0.00547015962893972	-43.2560120473655	-90.3979907577594	0	0
0.00558470194736831	-43.0760207319806	-90.4063242107527	0	0
0.00570164272280747	-42.8960297840877	-90.4148321447599	0	0
0.00582103217770871	-42.7160392192367	-90.4235182122208	0	0
0.00594292158615572	-42.5360490536351	-90.4323861419848	0	0
0.00606736329588505	-42.3560593041763	-90.4414397409062	0	0
0.00619441075076781	-42.1760699884683	-90.4506828954727	0	0
0.0063241185137622	-41.9960811248641	-90.4601195734681	0	0
0.00645654229034655	-41.8160927324932	-90.4697538256685	0	0
0.00659173895244321	-41.6361048312943	-90.4795897875749	0	0
0.00672976656284318	-41.4561174420496	-90.4896316811809	0	0
0.00687068440014232	-41.2761305864208	-90.4998838167773	0	0
0.00701455298419971	-41.0961442869856	-90.5103505947935	0	0
0.00716143410212902	-40.9161585672771	-90.5210365076785	0	0
0.00731139083483417	-40.7361734518238	-90.5319461418186	0	0
0.00746448758410066	-40.5561889661921	-90.5430841794972	0	0
0.00762079010025412	-40.3762051370295	-90.5544554008926	0	0
0.00778036551039804	-40.1962219921111	-90.5660646861193	0	0
0.00794328234724282	-40.0162395603869	-90.5779170173102	0	0
0.00810961057853841	-39.8362578720313	-90.5900174807414	0	0
0.00827942163712334	-39.6562769584952	-90.6023712690023	0	0
0.0084527884516029	-39.47629685256	-90.6149836832089	0	0
0.0086297854776697	-39.2963175883935	-90.6278601352632	0	0
0.00881048873008014	-39.1163392016088	-90.6410061501596	0	0
0.00899497581530035	-38.9363617293254	-90.6544273683377	0	0
0.00918332596483581	-38.7563852102326	-90.6681295480845	0	0
0.0093756200692588	-38.5764096846564	-90.6821185679848	0	0
0.00957194071294844	-38.3964351946281	-90.6964004294225	0	0
0.0097723722095581	-38.2164617839569	-90.7109812591336	0	0
0.00997700063822553	-38.0364894983044	-90.7258673118099	0	0
0.0101859138805412	-37.8565183852636	-90.7410649727576	0	0
0.0103992016582906	-37.6765484944403	-90.7565807606095	0	0
0.0106169555719872	-37.4965798775378	-90.7724213300919	0	0
0.010839269140212	-37.316612588446	-90.7885934748492	0	0
0.0110662378397767	-37.1366466833335	-90.8051041303248	0	0
0.011297959146728	-36.9566822207442	-90.8219603767014	0	0
0.0115345325782109	-36.7767192616973	-90.8391694419004	0	0
0.0117760597352081	-36.5967578697922	-90.8567387046425	0	0
0.0120226443461741	-36.4167981113172	-90.87467569757	0	0
0.0122743923115841	-36.2368400553632	-90.8929881104325	0	0
0.0125314117494142	-36.0568837739424	-90.9116837933368	0	0
0.0127938130415752	-35.8769293421112	-90.9307707600621	0	0
0.0130617088813184	-35.696976838099	-90.950257191442	0	0
0.0133352143216332	-35.5170263434421	-90.9701514388146	0	0
