Freq.	V(vin)	V(vout)
2.23872113856834e-003	2.99998485007330e-002,-2.26039538999266e-015	-1.66206688625740e-008,-1.68794562898067e-004
2.29086765276777e-003	2.99998485007330e-002,-2.31304676219668e-015	-1.74039768489957e-008,-1.72726293285869e-004
2.34422881531992e-003	2.99998485007330e-002,-2.36692454235093e-015	-1.82242010030402e-008,-1.76749605434752e-004
2.39883291901949e-003	2.99998485007330e-002,-2.42205729683305e-015	-1.90830811300440e-008,-1.80866632557648e-004
2.45470891568503e-003	2.99998485007330e-002,-2.47847425867944e-015	-1.99824390298367e-008,-1.85079557556379e-004
2.51188643150958e-003	2.99998485007330e-002,-2.53620534015281e-015	-2.09241823610265e-008,-1.89390614179059e-004
2.57039578276886e-003	2.99998485007330e-002,-2.59528115132079e-015	-2.19103086873959e-008,-1.93802088204449e-004
2.63026799189538e-003	2.99998485007330e-002,-2.65573301459973e-015	-2.29429097150023e-008,-1.98316318653914e-004
2.69153480392691e-003	2.99998485007330e-002,-2.71759298294732e-015	-2.40241757289662e-008,-2.02935699031593e-004
2.75422870333816e-003	2.99998485007330e-002,-2.78089385487693e-015	-2.51564002393601e-008,-2.07662678593464e-004
2.81838293126445e-003	2.99998485007330e-002,-2.84566919346899e-015	-2.63419848460484e-008,-2.12499763645974e-004
2.88403150312660e-003	2.99998485007330e-002,-2.91195334345612e-015	-2.75834443328004e-008,-2.17449518874909e-004
2.95120922666638e-003	2.99998485007330e-002,-2.97978144988768e-015	-2.88834120014877e-008,-2.22514568705218e-004
3.01995172040201e-003	2.99998485007330e-002,-3.04918947572519e-015	-3.02446452576621e-008,-2.27697598692522e-004
3.09029543251358e-003	2.99998485007330e-002,-3.12021422176182e-015	-3.16700314593878e-008,-2.33001356947020e-004
3.16227766016837e-003	2.99998485007330e-002,-3.19289334712086e-015	-3.31625940417095e-008,-2.38428655590570e-004
3.23593656929628e-003	2.99998485007330e-002,-3.26726538627383e-015	-3.47254989297625e-008,-2.43982372247714e-004
3.31131121482590e-003	2.99998485007330e-002,-3.34336977319850e-015	-3.63620612541235e-008,-2.49665451571420e-004
3.38844156139202e-003	2.99998485007330e-002,-3.42124685890618e-015	-3.80757523826445e-008,-2.55480906804377e-004
3.46736850452531e-003	2.99998485007330e-002,-3.50093793453991e-015	-3.98702072836879e-008,-2.61431821376647e-004
3.54813389233575e-003	2.99998485007330e-002,-3.58248525406472e-015	-4.17492322363768e-008,-2.67521350540535e-004
3.63078054770101e-003	2.99998485007330e-002,-3.66593205463678e-015	-4.37168129042254e-008,-2.73752723043539e-004
3.71535229097172e-003	2.99998485007330e-002,-3.75132258052949e-015	-4.57771227892570e-008,-2.80129242840269e-004
3.80189396320560e-003	2.99998485007330e-002,-3.83870210734864e-015	-4.79345320845654e-008,-2.86654290844239e-004
3.89045144994280e-003	2.99998485007330e-002,-3.92811696462348e-015	-5.01936169440694e-008,-2.93331326720462e-004
3.98107170553496e-003	2.99998485007330e-002,-4.01961456174923e-015	-5.25591691891485e-008,-3.00163890719804e-004
4.07380277804112e-003	2.99998485007330e-002,-4.11324341152924e-015	-5.50362064727364e-008,-3.07155605556064e-004
4.16869383470334e-003	2.99998485007330e-002,-4.20905315674374e-015	-5.76299829224280e-008,-3.14310178326771e-004
4.26579518801592e-003	2.99998485007330e-002,-4.30709459783348e-015	-6.03460002851835e-008,-3.21631402478728e-004
4.36515832240165e-003	2.99998485007330e-002,-4.40741971809195e-015	-6.31900195972684e-008,-3.29123159819336e-004
4.46683592150962e-003	2.99998485007330e-002,-4.51008170908402e-015	-6.61680734041755e-008,-3.36789422574767e-004
4.57088189614874e-003	2.99998485007330e-002,-4.61513500578462e-015	-6.92864785564575e-008,-3.44634255496079e-004
4.67735141287197e-003	2.99998485007330e-002,-4.72263530773143e-015	-7.25518496086045e-008,-3.52661818014386e-004
4.78630092322637e-003	2.99998485007330e-002,-4.83263961386649e-015	-7.59711128493980e-008,-3.60876366446227e-004
4.89778819368445e-003	2.99998485007330e-002,-4.94520624848961e-015	-7.95515209934825e-008,-3.69282256250309e-004
5.01187233627271e-003	2.99998485007330e-002,-5.06039489696621e-015	-8.33006685653416e-008,-3.77883944336807e-004
5.12861383991363e-003	2.99998485007330e-002,-5.17826663391899e-015	-8.72265080082908e-008,-3.86685991430464e-004
5.24807460249771e-003	2.99998485007330e-002,-5.29888395509386e-015	-9.13373665526632e-008,-3.95693064488721e-004
5.37031796370251e-003	2.99998485007330e-002,-5.42231081550572e-015	-9.56419638789681e-008,-4.04909939176183e-004
5.49540873857623e-003	2.99998485007330e-002,-5.54861265603181e-015	-1.00149430613496e-007,-4.14341502396719e-004
5.62341325190347e-003	2.99998485007330e-002,-5.67785644420847e-015	-1.04869327695574e-007,-4.23992754884533e-004
5.75439937337155e-003	2.99998485007330e-002,-5.81011070688359e-015	-1.09811666657598e-007,-4.33868813855594e-004
5.88843655355587e-003	2.99998485007330e-002,-5.94544556659047e-015	-1.14986930860807e-007,-4.43974915720832e-004
6.02559586074356e-003	2.99998485007330e-002,-6.08393278041198e-015	-1.20406097731869e-007,-4.54316418862511e-004
6.16595001861480e-003	2.99998485007330e-002,-6.22564577502268e-015	-1.26080662047482e-007,-4.64898806475290e-004
6.30957344480191e-003	2.99998485007330e-002,-6.37065968898434e-015	-1.32022660316282e-007,-4.75727689473448e-004
6.45654229034654e-003	2.99998485007330e-002,-6.51905141056414e-015	-1.38244696309888e-007,-4.86808809465830e-004
6.60693448007594e-003	2.99998485007330e-002,-6.67089961944189e-015	-1.44759967797147e-007,-4.98148041800081e-004
6.76082975391980e-003	2.99998485007330e-002,-6.82628482622006e-015	-1.51582294538349e-007,-5.09751398677795e-004
6.91830970918934e-003	2.99998485007330e-002,-6.98528941968738e-015	-1.58726147598750e-007,-5.21625032342218e-004
7.07945784384136e-003	2.99998485007330e-002,-7.14799770513283e-015	-1.66206680043618e-007,-5.33775238340196e-004
7.24435960074988e-003	2.99998485007330e-002,-7.31449595314775e-015	-1.74039759079848e-007,-5.46208458860110e-004
7.41310241300915e-003	2.99998485007330e-002,-7.48487244289333e-015	-1.82241999712427e-007,-5.58931286147554e-004
7.58577575029181e-003	2.99998485007330e-002,-7.65921751045962e-015	-1.90830799987000e-007,-5.71950466000567e-004
7.76247116628689e-003	2.99998485007330e-002,-7.83762359465258e-015	-1.99824377893432e-007,-5.85272901346285e-004
7.94328234724279e-003	2.99998485007330e-002,-8.02018529196607e-015	-2.09241810008525e-007,-5.98905655900891e-004
8.12830516164097e-003	2.99998485007330e-002,-8.20699939455469e-015	-2.19103071959944e-007,-6.12855957914824e-004
8.31763771102668e-003	2.99998485007330e-002,-8.39816495729447e-015	-2.29429080797129e-007,-6.27131204005209e-004
8.51138038202373e-003	2.99998485007330e-002,-8.59378333658081e-015	-2.40241739359075e-007,-6.41738963077556e-004
8.70963589956078e-003	2.99998485007330e-002,-8.79395825259764e-015	-2.51563982733103e-007,-6.56686980338811e-004
8.91250938133742e-003	2.99998485007330e-002,-8.99879583984206e-015	-2.63419826903172e-007,-6.71983181403862e-004
9.12010839355906e-003	2.99998485007330e-002,-9.20840470714659e-015	-2.75834419690885e-007,-6.87635676497708e-004
9.33254300796988e-003	2.99998485007330e-002,-9.42289599050779e-015	-2.88834094097287e-007,-7.03652764755490e-004
9.54992586021432e-003	2.99998485007330e-002,-9.64238341770215e-015	-3.02446424158556e-007,-7.20042938622688e-004
9.77237220955807e-003	2.99998485007330e-002,-9.86698336099829e-015	-3.16700283434088e-007,-7.36814888357802e-004
9.99999999999996e-003	2.99998485007330e-002,-1.00968149089198e-014	-3.31625906251055e-007,-7.53977506639898e-004
1.02329299228075e-002	2.99998485007330e-002,-1.03319999186832e-014	-3.47254951835308e-007,-7.71539893283484e-004
1.04712854805090e-002	2.99998485007330e-002,-1.05726630906596e-014	-3.63620571464624e-007,-7.89511360063195e-004
1.07151930523760e-002	2.99998485007330e-002,-1.08189320264831e-014	-3.80757478786837e-007,-8.07901435650846e-004
1.09647819614318e-002	2.99998485007330e-002,-1.10709373006406e-014	-3.98702023451936e-007,-8.26719870667487e-004
1.12201845430196e-002	2.99998485007330e-002,-1.13288125301953e-014	-4.17492268214257e-007,-8.45976642853111e-004
1.14815362149688e-002	2.99998485007330e-002,-1.15926944426778e-014	-4.37168069668493e-007,-8.65681962356782e-004
1.17489755493952e-002	2.99998485007330e-002,-1.18627229541199e-014	-4.57771162790545e-007,-8.85846277149967e-004
1.20226443461741e-002	2.99998485007330e-002,-1.21390412339998e-014	-4.79345249462704e-007,-9.06480278565952e-004
1.23026877081238e-002	2.99998485007330e-002,-1.24217957896363e-014	-5.01936091170832e-007,-9.27594906968273e-004
1.25892541179416e-002	2.99998485007330e-002,-1.27111365447633e-014	-5.25591606070300e-007,-9.49201357551172e-004
1.28824955169313e-002	2.99998485007330e-002,-1.30072169082335e-014	-5.50361970626304e-007,-9.71311086275140e-004
1.31825673855640e-002	2.99998485007330e-002,-1.33101938645060e-014	-5.76299726044534e-007,-9.93935815940709e-004
1.34896288259165e-002	2.99998485007330e-002,-1.36202280601719e-014	-6.03459889717488e-007,-1.01708754240370e-003
1.38038426460288e-002	2.99998485007330e-002,-1.39374838757300e-014	-6.31900071923328e-007,-1.04077854093523e-003
1.41253754462275e-002	2.99998485007330e-002,-1.42621295255244e-014	-6.61680598024349e-007,-1.06502137272981e-003
1.44543977074592e-002	2.99998485007330e-002,-1.45943371370872e-014	-6.92864636424454e-007,-1.08982889156510e-003
1.47910838816820e-002	2.99998485007330e-002,-1.49342828569087e-014	-7.25518332557158e-007,-1.11521425061666e-003
1.51356124843620e-002	2.99998485007330e-002,-1.52821469202976e-014	-7.59710949188125e-007,-1.14119090943147e-003
1.54881661891247e-002	2.99998485007330e-002,-1.56381137779762e-014	-7.95515013329862e-007,-1.16777264106388e-003
1.58489319246111e-002	2.99998485007330e-002,-1.60023721660578e-014	-8.33006470080372e-007,-1.19497353937769e-003
1.62181009735892e-002	2.99998485007330e-002,-1.63751152124712e-014	-8.72264843711758e-007,-1.22280802651834e-003
1.65958690743755e-002	2.99998485007330e-002,-1.67565405532292e-014	-9.13373406350819e-007,-1.25129086055909e-003
1.69824365246174e-002	2.99998485007330e-002,-1.71468504273877e-014	-9.56419354609068e-007,-1.28043714332528e-003
1.73780082874937e-002	2.99998485007329e-002,-1.75462517791823e-014	-1.00149399453712e-006,-1.31026232840079e-003
1.77827941003891e-002	2.99998485007329e-002,-1.79549563750729e-014	-1.04869293529554e-006,-1.34078222932098e-003
1.81970085860997e-002	2.99998485007329e-002,-1.83731809176172e-014	-1.09811629195302e-006,-1.37201302795640e-003
1.86208713666286e-002	2.99998485007329e-002,-1.88011471503799e-014	-1.14986889784210e-006,-1.40397128309177e-003
1.90546071796324e-002	2.99998485007329e-002,-1.92390819909168e-014	-1.20406052692281e-006,-1.43667393920469e-003
1.94984459975804e-002	2.99998485007329e-002,-1.96872176322363e-014	-1.26080612662555e-006,-1.47013833544883e-003
1.99526231496887e-002	2.99998485007329e-002,-2.01457916832904e-014	-1.32022606166790e-006,-1.50438221484630e-003
2.04173794466952e-002	2.99998485007329e-002,-2.06150472852063e-014	-1.38244636936152e-006,-1.53942373369407e-003
2.08929613085403e-002	2.99998485007329e-002,-2.10952332440313e-014	-1.44759902695142e-006,-1.57528147118940e-003
2.13796208950222e-002	2.99998485007329e-002,-2.15866041560275e-014	-1.51582223155419e-006,-1.61197443927950e-003
2.18776162394954e-002	2.99998485007329e-002,-2.20894205540357e-014	-1.58726069328930e-006,-1.64952209274042e-003
2.23872113856833e-002	2.99998485007329e-002,-2.26039490315785e-014	-1.66206594222465e-006,-1.68794433949075e-003
2.29086765276776e-002	2.99998485007329e-002,-2.31304624070675e-014	-1.74039664978830e-006,-1.72726155114539e-003
2.34422881531991e-002	2.99998485007329e-002,-2.36692398360362e-014	-1.82241896532713e-006,-1.76749457381508e-003
2.39883291901948e-002	2.99998485007329e-002,-2.42205669856593e-014	-1.90830686852698e-006,-1.80866473915744e-003
2.45470891568502e-002	2.99998485007329e-002,-2.47847361731809e-014	-1.99824253844138e-006,-1.85079387568521e-003
