Freq.	V(vin)
3.89045144994280e-003	(-3.04576187692480e+001dB,-7.50218866942499e-012°)
3.98107170553496e-003	(-3.04576187692480e+001dB,-7.67693709026338e-012°)
4.07380277804112e-003	(-3.04576187692480e+001dB,-7.85575592439608e-012°)
4.16869383470334e-003	(-3.04576187692480e+001dB,-8.03873998302827e-012°)
4.26579518801592e-003	(-3.04576187692480e+001dB,-8.22598628834495e-012°)
4.36515832240165e-003	(-3.04576187692480e+001dB,-8.41759412162492e-012°)
4.46683592150962e-003	(-3.04576187692480e+001dB,-8.61366507178694e-012°)
4.57088189614874e-003	(-3.04576187692480e+001dB,-8.81430310250009e-012°)
4.67735141287197e-003	(-3.04576187692480e+001dB,-9.01961459258258e-012°)
4.78630092322637e-003	(-3.04576187692480e+001dB,-9.22970840254465e-012°)
4.89778819368445e-003	(-3.04576187692480e+001dB,-9.44469592415626e-012°)
5.01187233627271e-003	(-3.04576187692480e+001dB,-9.66469114864427e-012°)
5.12861383991363e-003	(-3.04576187692480e+001dB,-9.88981072053496e-012°)
5.24807460249771e-003	(-3.04576187692480e+001dB,-1.01201739985137e-011°)
5.37031796370251e-003	(-3.04576187692480e+001dB,-1.03559031282784e-011°)
5.49540873857623e-003	(-3.04576187692480e+001dB,-1.05971230933293e-011°)
5.62341325190347e-003	(-3.04576187692480e+001dB,-1.08439617928855e-011°)
5.75439937337155e-003	(-3.04576187692480e+001dB,-1.10965501042469e-011°)
5.88843655355587e-003	(-3.04576187692480e+001dB,-1.13550219522635e-011°)
6.02559586074356e-003	(-3.04576187692480e+001dB,-1.16195143835604e-011°)
6.16595001861480e-003	(-3.04576187692480e+001dB,-1.18901676334645e-011°)
6.30957344480191e-003	(-3.04576187692480e+001dB,-1.21671252067826e-011°)
6.45654229034654e-003	(-3.04576187692480e+001dB,-1.24505339500300e-011°)
6.60693448007594e-003	(-3.04576187692480e+001dB,-1.27405441310848e-011°)
6.76082975391980e-003	(-3.04576187692480e+001dB,-1.30373095146480e-011°)
6.91830970918934e-003	(-3.04576187692480e+001dB,-1.33409874525099e-011°)
7.07945784384136e-003	(-3.04576187692480e+001dB,-1.36517389567252e-011°)
7.24435960074988e-003	(-3.04576187692480e+001dB,-1.39697287928186e-011°)
7.41310241300915e-003	(-3.04576187692480e+001dB,-1.42951255624202e-011°)
7.58577575029181e-003	(-3.04576187692480e+001dB,-1.46281017956245e-011°)
7.76247116628689e-003	(-3.04576187692480e+001dB,-1.49688340384377e-011°)
7.94328234724279e-003	(-3.04576187692480e+001dB,-1.53175029577675e-011°)
8.12830516164097e-003	(-3.04576187692480e+001dB,-1.56742934139456e-011°)
8.31763771102668e-003	(-3.04576187692480e+001dB,-1.60393945888054e-011°)
8.51138038202373e-003	(-3.04576187692480e+001dB,-1.64130000597805e-011°)
8.70963589956078e-003	(-3.04576187692480e+001dB,-1.67953079188308e-011°)
8.91250938133742e-003	(-3.04576187692480e+001dB,-1.71865208689383e-011°)
9.12010839355906e-003	(-3.04576187692480e+001dB,-1.75868463387410e-011°)
9.33254300796988e-003	(-3.04576187692480e+001dB,-1.79964965834295e-011°)
9.54992586021432e-003	(-3.04576187692480e+001dB,-1.84156888081540e-011°)
9.77237220955807e-003	(-3.04576187692480e+001dB,-1.88446452686985e-011°)
9.99999999999996e-003	(-3.04576187692480e+001dB,-1.92835934085380e-011°)
1.02329299228075e-002	(-3.04576187692480e+001dB,-1.97327659589879e-011°)
1.04712854805090e-002	(-3.04576187692480e+001dB,-2.01924010814167e-011°)
1.07151930523760e-002	(-3.04576187692480e+001dB,-2.06627424782246e-011°)
1.09647819614318e-002	(-3.04576187692480e+001dB,-2.11440395295717e-011°)
1.12201845430196e-002	(-3.04576187692480e+001dB,-2.16365474265397e-011°)
1.14815362149688e-002	(-3.04576187692480e+001dB,-2.21405273007953e-011°)
1.17489755493952e-002	(-3.04576187692480e+001dB,-2.26562463736251e-011°)
1.20226443461741e-002	(-3.04576187692480e+001dB,-2.31839780799718e-011°)
1.23026877081238e-002	(-3.04576187692480e+001dB,-2.37240022296161e-011°)
1.25892541179416e-002	(-3.04576187692480e+001dB,-2.42766051572442e-011°)
1.28824955169313e-002	(-3.04576187692480e+001dB,-2.48420798536624e-011°)
1.31825673855640e-002	(-3.04576187692480e+001dB,-2.54207261386165e-011°)
1.34896288259165e-002	(-3.04576187692480e+001dB,-2.60128508260447e-011°)
1.38038426460288e-002	(-3.04576187692480e+001dB,-2.66187678611596e-011°)
1.41253754462275e-002	(-3.04576187692480e+001dB,-2.72387985113159e-011°)
